,comment,taste,service,mood,cospa,negaposi
0,素晴らしい！吃過兩次都沒有失望，如果在東京只有一餐米其林，這裡就是唯一！,5,5,4,5,0.0
1,衛生にも配慮され、いこごちのよい空間でした。お料理はまさに藝術品。五感のみならず第六感まで感性を総動員して、素晴らしい食の旅をさせていただきました。ワインもコスパ最高です。お料理に合わせて頂いて、大満足、感謝いっぱいです。,5,5,4.5,4.5,1.0
2,"ジャンル的にはイノベーティブとのことですが、
そこまで前衛的なモノはないので、どなたでも安心して行けると思います。
逆に「驚き」の要素には欠けます。
味付けそのものも 好みの別れる鋭さや繊細さはなく、良く言えば無難な味に仕上がっています。
万人が安心して行ける店舗ということになるのかもしれません。
が、接客の質を含めて 私はおすすめしません。",1,1,2,1,0.611111111111111
3,"次元の違うお料理でした。
また是非に。",5,5,5,4,0.0
4,今年1年たいへんお世話になりました。ナリサワさんのお料理は本当においしいです。来年もよろしくお願いいたします。,5,5,5,5,0.3333333333333333
5,料理は、凄く繊細で美味しかったです。,5,3.5,3.5,3.5,1.0
6,"イノベーティブなお料理ということで、ずっと行きたかったレストランでした。
パンを目の前で焼いてくれたり、日本酒をたくさん出してくれたり、ワインも富山のものをたくさんいただいて新しい発見でした。結構お魚がふんだんに出て、クエや、ノドクロなど大変美味しくいただきました。デザートも美味しかったです！お値段はそれなりに張りますが、平日なのに、満席でした。",4,5,4,3,0.2
7,素晴らしいと思います。ここでしか味わえないお料理でした。サービスも良かったと思います。,4.5,5,4,4,0.3333333333333333
8,流石の料理、接客でした。,5,5,5,3,1.0
9,"サービスは心地よく快適でした。
料理は噂通り、全て驚く創作料理でした。シェフの人柄も宜しく、とても良い会食でした。",4,5,4.5,2.5,0.6666666666666666
10,"超人気店なのに1人客を入れていただき嬉しかったです。ありがとうございました。金曜昼で満席でした。
創作日本料理って感じで美味しかったです。",5,5,5,5,0.25
11,素晴らしい接客に素晴らしいお料理でした。特別な日にオススメのレストラン。,5,5,5,3,1.0
12,"料理の味は勿論、サ―ビス、雰囲気、素晴らしかったです。静かな雰囲気で、ゆっくり、美味しいお酒を味わえました。
また、是非利用したいです。",5,5,5,4,0.5
